0 1 0
0 2 0
1 2 0
0 1 1
1 2 1
0 1 2
1 2 2
0 1 3
1 2 3
1 2 4
0 2 4
0 1 4
1 2 8
1 2 9
0 1 9
1 2 10
0 2 10
0 1 10
0 1 12
1 2 12
1 2 14
1 2 15
3 4 15
1 2 16
0 1 16
0 2 16
3 4 16
3 4 17
0 1 18
3 4 18
0 1 19
1 2 20
3 4 20
1 2 21
0 1 21
3 4 21
1 2 22
0 2 22
0 1 23
5 6 23
0 1 24
1 2 24
5 6 24
0 2 24
3 4 24
5 7 25
6 7 25
5 8 25
5 6 25
3 4 25
6 8 25
5 8 26
5 6 26
6 8 26
6 7 27
5 6 27
0 2 27
6 8 27
3 4 27
6 7 28
5 6 28
0 2 28
3 4 28
5 6 29
3 4 29
7 8 30
6 7 30
9 10 30
5 6 30
3 4 30
7 10 31
7 9 31
6 7 31
9 10 31
5 6 31
3 4 31
8 10 31
9 10 32
4 11 32
3 11 32
3 4 32
5 7 33
9 10 33
5 6 33
3 11 33
3 4 33
7 8 34
5 7 34
6 7 34
9 10 34
3 5 34
3 11 34
3 4 34
4 8 34
5 7 35
9 10 35
4 5 35
3 5 35
0 2 35
3 4 35
7 8 36
6 7 36
9 10 36
4 5 36
5 6 36
3 4 36
3 6 36
12 13 37
5 7 37
6 7 37
9 10 37
5 6 37
0 2 37
3 6 37
3 4 37
12 13 38
9 10 38
5 6 38
0 2 38
3 4 38
9 10 39
5 6 39
0 2 39
3 4 39
3 13 39
4 13 39
3 12 40
9 10 40
3 4 40
3 13 40
4 13 40
4 12 41
12 13 41
3 12 41
9 10 41
0 2 41
3 4 41
3 13 41
4 13 41
9 10 42
11 13 42
3 13 42
4 12 43
12 13 43
9 10 43
5 6 43
3 4 43
4 13 43
4 12 44
7 11 44
9 10 44
5 6 44
3 4 44
3 13 44
4 10 44
0 1 45
9 10 45
3 9 45
5 6 45
3 10 45
4 10 45
10 13 45
4 13 45
0 1 46
1 2 46
9 10 46
4 9 46
3 9 46
5 6 46
0 2 46
3 10 46
3 4 46
4 10 46
14 15 47
0 1 47
9 10 47
5 6 47
0 2 47
3 4 47
14 15 48
0 1 48
1 2 48
9 10 48
5 6 48
3 4 48
14 15 49
9 10 49
5 6 49
3 4 49
14 15 50
7 8 50
9 10 50
5 6 50
0 2 50
3 4 50
1 13 51
12 13 51
5 6 51
0 2 51
3 4 51
1 13 52
6 7 52
5 6 52
0 2 52
3 4 52
12 13 53
6 7 53
9 10 53
5 6 53
0 2 53
3 4 53
9 10 54
9 13 54
5 6 54
10 13 54
10 13 55
9 13 55
9 10 55
5 6 55
3 4 55
11 14 56
3 4 56
5 6 57
0 2 57
5 6 58
3 4 58
12 13 59
1 2 59
5 6 59
3 4 59
3 4 60
2 3 60
12 13 61
1 3 61
9 10 61
5 6 61
2 3 61
12 13 62
1 4 62
1 3 62
1 2 62
6 7 62
9 10 62
5 6 62
2 3 62
3 4 62
3 16 62
4 16 63
1 16 63
3 16 63
5 6 63
1 2 63
2 3 63
3 4 63
1 4 63
13 16 64
1 2 64
9 10 64
3 4 64
3 16 64
4 16 64
12 13 65
4 16 65
3 4 65
1 2 65
3 16 65
6 7 65
9 10 65
1 2 66
6 7 66
4 16 66
9 10 66
3 4 66
0 1 67
6 7 67
4 16 67
4 16 68
3 16 68
2 12 68
6 7 68
0 1 68
3 4 68
0 1 69
12 13 69
3 4 69
4 16 69
9 10 69
0 1 70
3 4 70
4 16 70
12 13 70
9 10 70
0 1 71
0 13 71
3 4 71
3 16 71
17 18 71
4 16 71
